ComID,CodRIP,CodREG,CodPROV,CodCOM,CodUTS,Name,Area (m2),UTM X (m E),UTM Y (m N),Lat (Deg N),Lon (Deg E),EOBS Points
936,5,20,90,90,90007,Banari,2.14E+07,472549.8343,4.49E+06,40.57992133,8.675657578,4
937,5,20,90,90,90008,Benetutti,9.44E+07,514047.4241,4.48E+06,40.43012894,9.165611162,4
938,5,20,90,90,90009,Berchidda,2.02E+08,517548.6677,4.52E+06,40.79055474,9.20800339,5
939,5,20,90,90,90010,Bessude,2.65E+07,472520.3768,4.49E+06,40.55343051,8.675437515,4
940,5,20,90,90,90011,Bonnanaro,2.21E+07,481060.4362,4.49E+06,40.54439738,8.776334316,4
941,5,20,90,90,90012,Bono,7.44E+07,503185.6495,4.47E+06,40.41649971,9.03754943,4
942,5,20,90,90,90013,Bonorva,1.50E+08,486321.1487,4.48E+06,40.43039673,8.838733461,6
943,5,20,90,90,90014,Bortigiadas,7.54E+07,499371.4506,4.53E+06,40.8809873,8.992539706,4
944,5,20,90,90,90015,Borutta,4.75E+06,478195.2332,4.49E+06,40.52625908,8.742567331,4
945,5,20,90,90,90016,Bottidda,3.37E+07,501699.8755,4.47E+06,40.39362513,9.020029746,5
946,5,20,90,90,90017,Buddusò,1.77E+08,522013.0516,4.49E+06,40.5982311,9.260170237,6
947,5,20,90,90,90018,Bultei,9.68E+07,507033.95,4.48E+06,40.48780708,9.082997243,4
948,5,20,90,90,90019,Bulzi,2.16E+07,487360.6493,4.52E+06,40.85564729,8.850039911,4
949,5,20,90,90,90020,Burgos,1.75E+07,498435.637,4.47E+06,40.39980282,8.981565321,4
950,5,20,90,90,90021,Calangianus,1.26E+08,520381.1551,4.53E+06,40.90575096,9.241995392,4
951,5,20,90,90,90022,Cargeghe,1.18E+07,469382.5704,4.50E+06,40.67771045,8.637706176,4
